raw_api_name,canonical_name,file_name,stage,final_status,pytest_outcome,failure_category,root_cause_summary,initial_failure_category,initial_root_cause_summary,failure_messages,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,fix_summary,fix_artifact,changed_files,rerun_status,report_path
Tensor.new_empty,Tensor.new_empty,test_Tensor_new_empty.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],4,4,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
Tensor.new_zeros,Tensor.new_zeros,test_Tensor_new_zeros.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],4,4,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
Tensor.register_hook,Tensor.register_hook,test_Tensor_register_hook.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The test expects register_hook(None) to fail at registration time, but current PyTorch accepts the hook and only raises TypeError when backward later tries to call the stored None hook.",[],2,2,0,0,0,0,adjust_test,True,True,test/api_test,"已按 `single-api-fix` 流程完成修复，只触达允许范围内的 [test/api_test/test_Tensor_register_hook.py](test/api_test/test_Tensor_register_hook.py)。

修复摘要：将 `register_hook(None)` 的异常断言从“注册时抛 `TypeError`”改为“在 `backward()` 触发 hook 调用时抛 `TypeError`”，与请求文件给出的实际 PyTorch 行为一致；未使用 `pytest.xfail`，也没有运行 `pytest`。

剩余风险：结果尚未回归验证，留给外层 pipeline 执行。",runs/20260323T041305Z/fixes/test_Tensor_register_hook.md,"[""test/api_test/test_Tensor_register_hook.py""]",pytest_passed,runs/20260323T041305Z/summary.md
Tensor.requires_grad,Tensor.requires_grad,test_Tensor_requires_grad.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
Tensor.untyped_storage,Tensor.untyped_storage,test_Tensor_untyped_storage.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.__future__.get_swap_module_params_on_conversion,torch.__future__.get_swap_module_params_on_conversion,test___future___get_swap_module_params_on_conversion.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],1,1,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._sync,torch._sync,test__sync.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.autograd.Variable._execution_engine.queue_callback,torch.autograd.Variable._execution_engine.queue_callback,test_autograd_Variable__execution_engine_queue_callback.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.compiler.is_compiling,torch.compiler.is_compiling,test_compiler_is_compiling.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.dtype,torch.dtype,test_dtype.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.Event,torch.Event,test_Event.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.library.impl,torch.library.impl,test_library_impl.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
