API,测试文件,结论,测试数,通过,跳过,失败类别,是否经修复,需要操作,摘要
torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,test__dynamo_compiled_autograd_compiled_autograd_enabled_force_eager.py,🔧 需人工检查,0,0,0,UNKNOWN,否,需人工处理,未捕获到明确的失败详情。
torch._dynamo.config.skip_fsdp_hooks,test__dynamo_config_skip_fsdp_hooks.py,🔧 需人工检查,0,0,0,UNKNOWN,否,需人工处理,未捕获到明确的失败详情。
torch.nn.Parameter.device.type,test_nn_Parameter_device_type.py,🔧 需人工检查,0,0,0,UNKNOWN,否,需人工处理,未捕获到明确的失败详情。
Tensor.new_empty,test_Tensor_new_empty.py,✅ AI 已确认,55,55,0,NONE,否,无需操作,未捕获到明确的失败详情。
Tensor.new_zeros,test_Tensor_new_zeros.py,✅ AI 已确认,56,56,0,NONE,是,无需操作,未捕获到明确的失败详情。
Tensor.register_hook,test_Tensor_register_hook.py,✅ AI 已确认,8,8,0,NONE,否,无需操作,未捕获到明确的失败详情。
Tensor.requires_grad,test_Tensor_requires_grad.py,✅ AI 已确认,8,8,0,NONE,否,无需操作,未捕获到明确的失败详情。
Tensor.untyped_storage,test_Tensor_untyped_storage.py,✅ AI 已确认,32,32,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch.Event,test_Event.py,✅ AI 已确认,9,5,4,NONE,否,无需操作,当前 NPU 后端不支持 Event.elapsed_time，跳过相关用例。 /home/l00913161/projects/pta_testcase/test/api_test/test_Event.py:83: 当前 NPU 后端不
torch._C.DispatchKey.Functionalize,test__C_DispatchKey_Functionalize.py,✅ AI 已确认,22,22,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._C.DispatchKeySet,test__C_DispatchKeySet.py,✅ AI 已确认,21,21,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._C._ExcludeDispatchKeyGuard,test__C__ExcludeDispatchKeyGuard.py,✅ AI 已确认,16,16,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch.__future__.get_swap_module_params_on_conversion,test___future___get_swap_module_params_on_conversion.py,✅ AI 已确认,8,8,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._dynamo.compiled_autograd.compiled_autograd_enabled,test__dynamo_compiled_autograd_compiled_autograd_enabled.py,✅ AI 已确认,5,5,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._dynamo.compiled_autograd.in_compiled_autograd_region,test__dynamo_compiled_autograd_in_compiled_autograd_region.py,✅ AI 已确认,2,2,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._dynamo.comptime.comptime.print,test__dynamo_comptime_comptime_print.py,✅ AI 已确认,11,11,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._dynamo.config,test__dynamo_config.py,✅ AI 已确认,8,8,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._from_functional_tensor,test__from_functional_tensor.py,✅ AI 已确认,17,17,0,NONE,是,无需操作,未捕获到明确的失败详情。
torch._logging.warning_once,test__logging_warning_once.py,✅ AI 已确认,12,12,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._prims_common.make_contiguous_strides_for,test__prims_common_make_contiguous_strides_for.py,✅ AI 已确认,15,15,0,NONE,否,无需操作,未捕获到明确的失败详情。
torch._running_with_deploy,test__running_with_deploy.py,✅ AI 已确认,10,10,0,NONE,否,无需操作,未捕获到明确的失败详情。
